Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TL_Amazon_wishlist_testsuite,Chrome 120.0.0.0,,,2024-01-31 21:23:15,2024-01-31 21:24:10,54.596s,PASSED
,,,,,,,
Test Cases/TestCase Using Test Listeners/TC_TL_Amazon_wishlist,Chrome 120.0.0.0,,,2024-01-31 21:23:38,2024-01-31 21:24:10,32.162s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,2024-01-31 21:23:38,2024-01-31 21:23:43,5.212s,PASSED
"setText(findTestObject(""Object Repository/TC_TL_Amazon_wishlist/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), ""da vinci code book"")",Chrome 120.0.0.0,,,2024-01-31 21:23:43,2024-01-31 21:23:48,4.607s,PASSED
"click(findTestObject(""Object Repository/TC_TL_Amazon_wishlist/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 120.0.0.0,,,2024-01-31 21:23:48,2024-01-31 21:23:52,3.946s,PASSED
"click(findTestObject(""Object Repository/TC_TL_Amazon_wishlist/Page_Amazon.com  da vinci code book/span_The Da Vinci Code (Robert Langdon)""))",Chrome 120.0.0.0,,,2024-01-31 21:23:52,2024-01-31 21:24:00,8.382s,PASSED
"click(findTestObject(""Object Repository/TC_TL_Amazon_wishlist/Page_The Da Vinci Code (Robert Langdon) Bro_e0923b/input_submit.add-to-registry.wishlist""))",Chrome 120.0.0.0,,,2024-01-31 21:24:00,2024-01-31 21:24:01,1.163s,PASSED
"click(findTestObject(""Object Repository/TC_TL_Amazon_wishlist/Page_The Da Vinci Code (Robert Langdon) Bro_e0923b/a_View Your List""))",Chrome 120.0.0.0,,,2024-01-31 21:24:01,2024-01-31 21:24:05,3.878s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,2024-01-31 21:24:05,2024-01-31 21:24:10,4.809s,PASSED
